df_name,segment_index,start_location,end_location
2084,4,Apple,Cake
2084,5,Cake,Bowl
2084,6,Bowl,Book
2084,7,Book,Brick
2084,8,Brick,Bread
2085,0,START,Pickaxe
2085,1,Pickaxe,Bone
2085,2,Bone,Egg
2085,3,Egg,Pickaxe
2085,4,Pickaxe,Bowl
2085,5,Bowl,Apple
2085,6,Apple,Book
2085,7,Book,Book
2085,8,Book,Brick
2085,9,Brick,Bread
2085,10,Bread,Pickaxe
2085,11,Pickaxe,Diamond
2117,0,START,Pickaxe
2117,1,Pickaxe,Bone
2117,2,Bone,Arrow
2117,3,Arrow,Egg
2117,4,Egg,Bowl
2117,5,Bowl,Cake
2117,6,Cake,Apple
2117,7,Apple,Bowl
2117,8,Bowl,Bread
2117,9,Bread,Brick
2117,10,Brick,Book
2117,11,Book,Arrow
2117,12,Arrow,Stick
2117,13,Stick,Pickaxe
2117,14,Pickaxe,Egg
2118,0,START,Pickaxe
2118,1,Pickaxe,Bone
2118,2,Bone,Egg
2118,3,Egg,Diamond
2118,4,Diamond,Bowl
2118,5,Bowl,Cake
2118,6,Cake,Apple
2118,7,Apple,Brick
2118,8,Brick,Brick
2118,9,Brick,Book
2118,10,Book,Stick
2118,11,Stick,Arrow
2118,12,Arrow,Arrow
2118,13,Arrow,Brick
2118,14,Brick,Bread
2243,0,START,Pickaxe
2243,1,Pickaxe,Bone
2243,2,Bone,Egg
2243,3,Egg,Diamond
2243,4,Diamond,Bowl
2243,5,Bowl,Apple
2243,6,Apple,Stick
2243,7,Stick,Cake
2243,8,Cake,Bread
2243,9,Bread,Brick
2243,10,Brick,Book
2243,11,Book,Egg
2243,12,Egg,Pickaxe
2243,13,Pickaxe,Arrow
2304,0,START,Pickaxe
2304,1,Pickaxe,Pickaxe
2304,2,Pickaxe,Arrow
2304,3,Arrow,Bone
2304,4,Bone,Egg
2304,5,Egg,Diamond
2304,6,Diamond,Bowl
2304,7,Bowl,Cake
2304,8,Cake,Bread
2304,9,Bread,Book
2304,10,Book,Arrow
2304,11,Arrow,Bone
2304,12,Bone,Egg
2304,13,Egg,Cake
2304,14,Cake,Apple
2304,15,Apple,Bread
2304,16,Bread,Book
2304,17,Book,Stick
2304,18,Stick,Arrow
2304,19,Arrow,Brick
2308,0,START,Pickaxe
2308,1,Pickaxe,Stick
2308,2,Stick,Book
2308,3,Book,Brick
2308,4,Brick,Bread
2308,5,Bread,Apple
2308,6,Apple,Bowl
2308,7,Bowl,Cake
2308,8,Cake,Egg
2308,9,Egg,Bone
2308,10,Bone,Pickaxe
2308,11,Pickaxe,Arrow
2308,12,Arrow,Brick
2308,13,Brick,Book
2318,0,START,Pickaxe
2318,1,Pickaxe,Bone
2318,2,Bone,Egg
2318,3,Egg,Diamond
2318,4,Diamond,Cake
2318,5,Cake,Bowl
2318,6,Bowl,Apple
2318,7,Apple,Stick
2318,8,Stick,Book
2318,9,Book,Brick
2318,10,Brick,Bread
2318,11,Bread,Book
2318,12,Book,Cake
2318,13,Cake,Bone
2320,0,START,Pickaxe
2320,1,Pickaxe,Stick
2320,2,Stick,Book
2320,3,Book,Book
2320,4,Book,Brick
2320,5,Brick,Bread
2320,6,Bread,Cake
2320,7,Cake,Bowl
2320,8,Bowl,Diamond
2320,9,Diamond,Egg
2320,10,Egg,Bone
2320,11,Bone,Apple
2320,12,Apple,Cake
2325,0,START,Pickaxe
2325,1,Pickaxe,Bone
2325,2,Bone,Egg
2325,3,Egg,Diamond
2325,4,Diamond,Arrow
2325,5,Arrow,Arrow
2325,6,Arrow,Book
2325,7,Book,Brick
2325,8,Brick,Bread
2325,9,Bread,Cake
2325,10,Cake,Bowl
2325,11,Bowl,Diamond
2325,12,Diamond,Pickaxe
2325,13,Pickaxe,Arrow
2325,14,Arrow,Book
2325,15,Book,Pickaxe
2325,16,Pickaxe,Egg
3002,0,START,Pickaxe
3002,1,Pickaxe,Bone
3002,2,Bone,Egg
3002,3,Egg,Diamond
3002,4,Diamond,Bowl
3002,5,Bowl,Cake
3002,6,Cake,Apple
3002,7,Apple,Bread
3002,8,Bread,Brick
3002,9,Brick,Book
3002,10,Book,Brick
3002,11,Brick,Apple
3002,12,Apple,Diamond
3002,13,Diamond,Pickaxe
3002,14,Pickaxe,Stick
3002,15,Stick,Arrow
3005,0,START,Pickaxe
3005,1,Pickaxe,Arrow
3005,2,Arrow,Book
3005,3,Book,Brick
3005,4,Brick,Bread
3005,5,Bread,Bread
3005,6,Bread,Bowl
3005,7,Bowl,Diamond
3005,8,Diamond,Bone
3005,9,Bone,Pickaxe
3005,10,Pickaxe,Egg
3005,11,Egg,Diamond
3005,12,Diamond,Cake
3005,13,Cake,Apple
3005,14,Apple,Pickaxe
3007,0,START,Pickaxe
3007,1,Pickaxe,Bone
3007,2,Bone,Egg
3007,3,Egg,Diamond
3007,4,Diamond,Cake
3007,5,Cake,Apple
3007,6,Apple,Bread
3007,7,Bread,Brick
3007,8,Brick,Book
3007,9,Book,Arrow
3007,10,Arrow,Diamond
3007,11,Diamond,Bowl
3007,12,Bowl,Pickaxe
3007,13,Pickaxe,Stick
3008,0,START,Pickaxe
3008,1,Pickaxe,Bone
3008,2,Bone,Egg
3008,3,Egg,Cake
3008,4,Cake,Bowl
3008,5,Bowl,Diamond
3008,6,Diamond,Pickaxe
3008,7,Pickaxe,Stick
3008,8,Stick,Book
3008,9,Book,Brick
3008,10,Brick,Bread
3008,11,Bread,Apple
3008,12,Apple,Cake
3008,13,Cake,Egg
3008,14,Egg,Bone
3008,15,Bone,Arrow
3011,0,START,Pickaxe
3011,1,Pickaxe,Bone
3011,2,Bone,Egg
3011,3,Egg,Diamond
3011,4,Diamond,Bowl
3011,5,Bowl,Cake
3011,6,Cake,Apple
3011,7,Apple,Bread
3011,8,Bread,Book
3011,9,Book,Stick
3011,10,Stick,Brick
3011,11,Brick,Diamond
3011,12,Diamond,Arrow
3016,0,START,Pickaxe
3016,1,Pickaxe,Stick
3016,2,Stick,Book
3016,3,Book,Brick
3016,4,Brick,Bread
3016,5,Bread,Apple
3016,6,Apple,Bowl
3016,7,Bowl,Cake
3016,8,Cake,Diamond
3016,9,Diamond,Egg
3016,10,Egg,Bone
3016,11,Bone,Arrow
3019,0,START,Pickaxe
3019,1,Pickaxe,Bone
3019,2,Bone,Egg
3019,3,Egg,Diamond
3019,4,Diamond,Cake
3019,5,Cake,Apple
3019,6,Apple,Bowl
3019,7,Bowl,Pickaxe
3019,8,Pickaxe,Stick
3019,9,Stick,Book
3019,10,Book,Brick
3019,11,Brick,Bread
3019,12,Bread,Cake
3019,13,Cake,Bread
3019,14,Bread,Book
3019,15,Book,Brick
3019,16,Brick,Bread
3019,17,Bread,Pickaxe
3019,18,Pickaxe,Bone
3019,19,Bone,Arrow
3025,0,START,Pickaxe
3025,1,Pickaxe,Stick
3025,2,Stick,Book
3025,3,Book,Brick
3025,4,Brick,Bread
3025,5,Bread,Apple
3025,6,Apple,Bowl
3025,7,Bowl,Cake
3025,8,Cake,Diamond
3025,9,Diamond,Egg
3025,10,Egg,Bone
3025,11,Bone,Arrow
3026,0,START,Pickaxe
3026,1,Pickaxe,Bone
3026,2,Bone,Egg
3026,3,Egg,Arrow
3026,4,Arrow,Book
3026,5,Book,Brick
3026,6,Brick,Bread
3026,7,Bread,Apple
3026,8,Apple,Bowl
3026,9,Bowl,Cake
3027,0,START,Diamond
3027,1,Diamond,Bowl
3027,2,Bowl,Cake
3027,3,Cake,Apple
3027,4,Apple,Bread
3027,5,Bread,Brick
3027,6,Brick,Book
3027,7,Book,Stick
3027,8,Stick,Arrow
3027,9,Arrow,Pickaxe
3027,10,Pickaxe,Egg
3027,11,Egg,Bone
