,gender,game_type,minecraft_skill,gaming_hours,removed_curves_count,age,Env,cluster0,cluster1,cluster2,cluster3
83,Female,Neither,Novice,0,0,19,2,0.857142857,0,0,0.142857143
84,Female,Both,Expert,3,7,18,1,0.857142857,0,0.035714286,0.107142857
85,Female,Third-person,Novice,7,2,21,2,0.703703704,0.074074074,0.037037037,0.185185185
86,Female,Both,Novice,0,0,21,1,0.888888889,0,0,0.111111111
87,Female,Both,Intermediate,3,1,20,2,0.791666667,0,0,0.208333333
88,Female,Neither,Novice,0,0,19,4,0.72,0,0.04,0.24
89,Female,Both,Novice,1,3,20,2,0.857142857,0.035714286,0,0.107142857
90,Female,Both,Intermediate,6,2,20,4,0.846153846,0,0.038461538,0.115384615
91,Female,Both,Novice,2,3,18,4,0.860465116,0,0,0.139534884
92,Male,Both,Intermediate,2,0,21,4,0.785714286,0.071428571,0.047619048,0.095238095
93,Female,First-person,Novice,1,1,19,1,0.884615385,0,0,0.115384615
94,Male,Both,Intermediate,1,0,23,4,0.666666667,0.083333333,0.041666667,0.208333333
95,Female,First-person,Novice,0,0,21,2,0.866666667,0,0.066666667,0.066666667
96,Female,Both,Intermediate,5,1,19,1,0.918918919,0.027027027,0.027027027,0.027027027
97,Female,Neither,Novice,0,0,20,2,0.769230769,0.076923077,0,0.153846154
98,Female,Neither,Novice,0,0,20,2,0.769230769,0.076923077,0,0.153846154
99,Female,Both,Intermediate,2,1,23,2,0.96,0,0,0.04
100,Male,Both,Novice,2,1,21,1,0.821428571,0.071428571,0.035714286,0.071428571
101,Female,Neither,Novice,0,1,20,1,0.8125,0.03125,0.03125,0.125
102,Male,Both,Intermediate,3,1,20,2,0.92,0,0,0.08
103,Male,Both,Intermediate,1,2,18,1,0.909090909,0,0.045454545,0.045454545
104,Female,Neither,Novice,0,0,18,1,0.9,0,0,0.1
105,Male,Both,Intermediate,2,1,19,1,0.814814815,0,0,0.185185185
106,Male,Both,Novice,0,0,21,2,0.896551724,0.034482759,0,0.068965517
