df_name,segment_index,training,cluster
2113,7,1,0
2113,8,2,0
2113,8,1,0
2113,9,2,0
2113,9,1,0
2115,0,2,0
2115,0,1,0
2115,1,2,0
2115,1,1,2
2115,10,2,0
2115,10,1,0
2115,11,2,2
2115,12,2,1
2115,12,1,0
2115,13,2,0
2115,14,2,0
2115,2,2,0
2115,2,1,0
2115,3,2,0
2115,3,1,0
2115,4,2,0
2115,4,1,0
2115,5,2,0
2115,5,1,0
2115,6,2,0
2115,6,1,0
2115,7,2,0
2115,7,1,0
2115,8,2,0
2115,8,1,2
2115,9,2,0
2115,9,1,2
2236,0,2,0
2236,0,1,0
2236,1,2,0
2236,1,1,0
2236,10,2,0
2236,10,1,0
2236,11,2,2
2236,11,1,0
2236,12,2,0
2236,12,1,2
2236,13,1,0
2236,2,2,0
2236,2,1,2
2236,3,2,0
2236,3,1,2
2236,4,2,0
2236,4,1,0
2236,5,2,0
2236,5,1,0
2236,6,2,0
2236,6,1,0
2236,7,2,0
2236,7,1,0
2236,8,2,0
2236,8,1,0
2236,9,2,0
2236,9,1,0
2247,0,2,0
2247,0,1,0
2247,1,2,0
2247,1,1,0
2247,10,2,2
2247,10,1,0
2247,11,2,0
2247,11,1,0
2247,12,2,0
2247,12,1,2
2247,2,2,0
2247,2,1,0
2247,3,2,2
2247,3,1,0
2247,4,2,0
2247,4,1,0
2247,5,2,0
2247,5,1,2
2247,6,2,0
2247,6,1,0
2247,7,2,0
2247,7,1,0
2247,8,2,0
2247,9,2,0
2247,9,1,0
2300,0,2,0
2300,0,1,0
2300,1,2,0
2300,1,1,0
2300,10,2,2
2300,10,1,0
2300,11,2,3
2300,11,1,2
2300,12,2,0
2300,12,1,0
2300,13,2,0
2300,13,1,2
2300,14,1,0
2300,15,1,1
2300,2,2,0
2300,2,1,2
2300,3,2,0
2300,3,1,0
2300,4,2,2
2300,4,1,0
2300,5,2,0
2300,5,1,0
2300,6,2,3
2300,6,1,1
2300,7,2,0
2300,7,1,2
2300,8,2,0
2300,8,1,0
2300,9,2,0
2300,9,1,2
2303,0,2,0
2303,0,1,0
2303,1,2,2
2303,1,1,0
2303,10,2,0
2303,10,1,0
2303,11,2,0
2303,11,1,2
2303,12,2,0
2303,12,1,0
2303,13,2,0
2303,14,2,0
2303,15,2,2
2303,16,2,2
2303,17,2,0
2303,18,2,3
2303,19,2,0
2303,2,2,0
2303,2,1,0
2303,20,2,0
2303,21,2,0
2303,3,2,0
2303,3,1,0
2303,4,2,0
2303,4,1,0
2303,5,2,0
2303,5,1,0
2303,6,2,0
2303,6,1,0
2303,7,2,0
2303,7,1,0
2303,8,2,0
2303,8,1,0
2303,9,2,0
2303,9,1,0
2306,0,2,0
2306,0,1,0
2306,1,2,2
2306,1,1,0
2306,10,2,0
2306,10,1,2
2306,11,2,0
2306,11,1,0
2306,12,2,0
2306,13,2,2
2306,13,1,0
2306,2,2,1
2306,2,1,0
2306,3,2,0
2306,3,1,0
2306,4,2,0
2306,4,1,0
2306,5,2,0
2306,5,1,0
2306,6,2,0
2306,6,1,0
2306,7,2,1
2306,7,1,2
2306,8,2,3
2306,8,1,0
2306,9,2,0
2306,9,1,0
2309,0,2,0
2309,0,1,0
2309,1,2,0
2309,1,1,2
2309,10,2,0
2309,10,1,0
